Date, Description
2020-02-11, "WHO announces official name for the disease that is causing the 2019 novel coronavirus outbreak: COVID-19"
2020-02-23, "Italy lockdown"
2020-04-03, "Masks at all times"
2020-03-13, "Trump declares nationwide emergency"
2020-03-26, "Senate passes CARES Act"
2020-09-22, "United States coronavirus (COVID-19) death toll surpasses 200000."
2020-12-14, "Vaccine Roll-Outs begin"
2020-12-25, "Christmas"
2021-08-03, "Delta variant becomes dominant"
2021-09-02, "last date"
2020-01-01, "date after latest tweet- necessary for code to work"
