tweet_id,user_id,tweet_timestamp,keyword,valence_intensity,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity,sentiment,emotion
1221958334661779458,18527874,"2020-01-27 16-49-04",wuhan,0.513,0.55,0.358,0.364,0.344,"neutral or mixed","no specific emotion"
1221959351461720064,35527998,"2020-01-27 16-53-06",wuhan,0.526,0.387,0.421,0.364,0.368,positive,happiness
1221959956951224320,415915436,"2020-01-27 16-55-31",wuhan,0.578,0.328,0.28,0.44,0.383,positive,happiness
1221961233026281472,22586384,"2020-01-27 17-00-35",wuhan,0.497,0.464,0.431,0.339,0.388,"neutral or mixed","no specific emotion"
1221961678058926080,2399087653,"2020-01-27 17-02-21",wuhan,0.448,0.449,0.425,0.291,0.474,negative,sadness
1221961676695785473,31162045,"2020-01-27 17-02-21",wuhan,0.464,0.604,0.427,0.31,0.448,negative,fear
1221962258080624640,15652540,"2020-01-27 17-04-39",wuhan,0.509,0.518,0.413,0.368,0.422,"neutral or mixed","no specific emotion"
1221962783492800514,1043492190213877787,"2020-01-27 17-06-45",wuhan,0.276,0.624,0.549,0.174,0.582,"very negative",fear
1221964957572632576,24009233,"2020-01-27 17-15-23",wuhan,0.564,0.509,0.429,0.371,0.329,positive,happiness
1221965012882690048,16117988,"2020-01-27 17-15-36",wuhan,0.442,0.457,0.455,0.301,0.418,negative,fear
1221965111570468864,207660339,"2020-01-27 17-16-00",wuhan,0.454,0.472,0.379,0.23,0.44,negative,fear
1221965447777718273,3959215155,"2020-01-27 17-17-20",wuhan,0.322,0.605,0.546,0.139,0.509,negative,fear
1221965679391387649,34533138,"2020-01-27 17-18-15",wuhan,0.423,0.607,0.4,0.205,0.434,negative,fear
1221966943202054147,13196662,"2020-01-27 17-23-16",wuhan,0.538,0.218,0.347,0.358,0.352,positive,happiness
1221967699619741696,2418055116,"2020-01-27 17-26-17",wuhan,0.399,0.597,0.503,0.284,0.476,negative,fear
1221968385753272321,273842391,"2020-01-27 17-29-00",wuhan,0.315,0.435,0.534,0.201,0.438,negative,anger
1221968685247672321,808399512964362240,"2020-01-27 17-30-12",wuhan,0.477,0.442,0.31,0.282,0.343,negative,fear
1221968894383886336,1163389613571842048,"2020-01-27 17-31-02",wuhan,0.462,0.469,0.396,0.275,0.403,negative,fear
1221969031516868608,1046466578466971650,"2020-01-27 17-31-34",wuhan,0.475,0.532,0.395,0.333,0.455,negative,fear
